x_VBf0.5_1,f_VBf0.5_1,F_VBf0.5_1
0,0.4935,0.4935
0.0205,0.4903,0.6443
0.0464,0.4869,0.6285
0.0636,0.4844,0.6268
0.0823,0.4816,0.6258
0.0983,0.4794,0.6229
0.1169,0.4756,0.6281
0.1318,0.4742,0.6202
0.1392,0.4705,0.6356
0.1545,0.4691,0.6269
0.1616,0.4592,0.6712
0.1781,0.4579,0.6574
0.2013,0.4535,0.6521
0.2213,0.4517,0.6406
0.2304,0.4451,0.655
0.2432,0.4445,0.6459
0.2553,0.4406,0.6477
0.2663,0.4356,0.6527
0.2732,0.4345,0.6503
0.2852,0.4301,0.6521
0.3018,0.4281,0.6446
0.307,0.4256,0.6466
0.3107,0.4211,0.654
0.3202,0.4222,0.6447
0.3355,0.4179,0.643
0.341,0.4119,0.6511
0.3484,0.408,0.6533
0.3562,0.404,0.6551
0.3674,0.4036,0.6482
0.3772,0.3974,0.6521
0.3864,0.3915,0.6555
0.3911,0.3912,0.6526
0.405,0.3888,0.6472
0.41,0.3832,0.6464
0.4148,0.3821,0.6506
0.424,0.3773,0.6506
0.4242,0.3735,0.6563
0.429,0.374,0.6525
0.4349,0.3694,0.6546
0.44,0.3704,0.6501
0.4489,0.3619,0.655
0.4592,0.3587,0.6521
0.4634,0.3587,0.6494
0.471,0.3512,0.6532
0.4774,0.3486,0.652
0.4808,0.3501,0.6483
0.4918,0.35,0.6417
0.4927,0.3438,0.6476
0.4977,0.3423,0.646
0.4983,0.3383,0.6496
0.5063,0.3364,0.6466
0.5092,0.3337,0.6474
0.5129,0.3284,0.6502
0.5148,0.3261,0.6513
