x_VBf0.3_1,f_VBf0.3_1,F_VBf0.3_1
0,0.303,0.303
0.017,0.3019,0.3691
0.0231,0.2988,0.4838
0.0417,0.2971,0.4406
0.0646,0.294,0.4341
0.0737,0.292,0.4415
0.0852,0.2898,0.4451
0.104,0.2878,0.4345
0.1083,0.2861,0.4424
0.1188,0.2829,0.4526
0.131,0.2808,0.4504
0.1379,0.2784,0.4573
0.1408,0.2763,0.4663
0.1511,0.2737,0.4678
0.155,0.2723,0.4684
0.1557,0.2701,0.4815
0.1686,0.2676,0.478
0.1835,0.2645,0.4745
0.1905,0.2623,0.4761
0.1979,0.2602,0.4767
0.2094,0.2583,0.4721
0.2186,0.2552,0.4739
0.2192,0.2538,0.4784
0.2314,0.2514,0.4746
0.2387,0.2507,0.4701
0.2469,0.2467,0.4749
0.2532,0.2461,0.4708
0.254,0.2443,0.4743
0.2545,0.2409,0.485
0.2568,0.2415,0.4812
0.2686,0.2368,0.4834
0.2714,0.2364,0.4819
0.2804,0.2345,0.479
0.2875,0.2327,0.4774
0.2908,0.2311,0.4786
0.302,0.2298,0.4723
0.3055,0.2281,0.4734
0.3103,0.2258,0.4747
0.3189,0.224,0.4718
0.3189,0.2227,0.4735
0.3189,0.2213,0.4777
0.325,0.2189,0.4759
0.3251,0.2168,0.482
0.3293,0.2161,0.4801
0.3311,0.2145,0.4818
0.3408,0.2128,0.4776
0.3412,0.2133,0.4764
0.3534,0.2117,0.4702
0.3585,0.2086,0.472
0.3616,0.2076,0.4716
