x_VBf0.7_1,f_VBf0.7_1,F_VBf0.7_1
0,0.6537,0.6537
0.0024,0.6526,1.1069
0.0035,0.6537,0.6462
0.0097,0.6518,0.8476
0.0224,0.6499,0.8167
0.038,0.6474,0.8119
0.0532,0.6447,0.8135
0.0719,0.6417,0.808
0.0911,0.6392,0.7979
0.1075,0.6361,0.7992
0.1261,0.6334,0.794
0.1402,0.6296,0.8015
0.1563,0.6275,0.795
0.1699,0.6252,0.7928
0.1846,0.6226,0.791
0.192,0.6201,0.7948
0.2016,0.6168,0.7998
0.2088,0.6143,0.803
0.2184,0.6111,0.806
0.2307,0.6088,0.8033
0.2437,0.6064,0.8004
0.2555,0.6043,0.7975
0.2669,0.6011,0.7981
0.2803,0.5992,0.7936
0.2898,0.5975,0.7912
0.299,0.5941,0.7934
0.3086,0.5921,0.7916
0.3141,0.5899,0.793
0.3207,0.5866,0.7957
0.3251,0.5851,0.796
0.3281,0.5831,0.7982
0.3378,0.58,0.7982
0.3464,0.5793,0.794
0.3546,0.5781,0.7911
0.3649,0.5754,0.7899
0.373,0.5733,0.7887
0.3781,0.5706,0.7903
0.3885,0.5669,0.7903
0.3927,0.5672,0.7874
0.4016,0.5643,0.7868
0.406,0.5628,0.7867
0.4094,0.5612,0.7871
0.4134,0.5592,0.7878
0.4166,0.5568,0.7893
0.4192,0.5562,0.7887
0.4271,0.5542,0.7872
0.4332,0.5521,0.7867
0.44,0.5506,0.7849
0.4458,0.5489,0.7839
0.4522,0.5477,0.7821
