x_VBf0.1_1,f_VBf0.1_1,F_VBf0.1_1
0,0.0986,0.0986
0.0137,0.0983,0.1239
0.0164,0.0969,0.1991
0.0303,0.0981,0.1133
0.0343,0.0968,0.1488
0.0403,0.0958,0.166
0.056,0.0952,0.1566
0.07,0.0955,0.1403
0.072,0.0962,0.1263
0.0747,0.0941,0.1543
0.086,0.0947,0.1403
0.0896,0.0929,0.1566
0.1002,0.0947,0.134
0.1039,0.0939,0.139
0.104,0.0942,0.1362
0.1084,0.0919,0.1541
0.1103,0.0907,0.1624
0.13,0.0934,0.1334
0.1303,0.0932,0.1345
0.1453,0.0923,0.1357
0.15,0.0923,0.1325
0.1538,0.0919,0.1356
0.16,0.0911,0.1406
0.1674,0.0916,0.1332
0.1705,0.0904,0.1384
0.174,0.0908,0.1354
0.1745,0.0918,0.1291
0.1752,0.0896,0.1409
0.1912,0.0909,0.1314
0.2018,0.0913,0.1274
0.2072,0.0914,0.1263
0.208,0.092,0.1233
0.2085,0.0893,0.134
0.21,0.0911,0.1244
0.2231,0.087,0.1389
0.2318,0.0882,0.1332
0.234,0.0875,0.1339
0.2365,0.085,0.1424
0.2384,0.0852,0.1416
0.242,0.0874,0.1335
0.2426,0.0819,0.1509
0.243,0.0795,0.158
0.2494,0.0791,0.1574
0.2524,0.0797,0.1546
0.2597,0.0805,0.1502
0.2654,0.0808,0.148
0.2756,0.0796,0.1487
0.276,0.0802,0.148
