x_VBf0.3_1,f_VBf0.3_1,F_VBf0.3_1
0,0.303,0.303
0.0111,0.2984,0.7145
0.0233,0.2965,0.5781
0.03,0.2902,0.7174
0.0305,0.2796,1.0488
0.0509,0.2794,0.7441
0.052,0.2756,0.8037
0.0539,0.2653,0.9661
0.0698,0.265,0.8098
0.08,0.2632,0.7612
0.0804,0.2543,0.8607
0.1087,0.256,0.6887
0.1126,0.2528,0.6993
0.1293,0.2514,0.6506
0.13,0.2501,0.6575
0.1385,0.247,0.6516
0.14,0.2407,0.6859
0.141,0.232,0.736
0.1505,0.2295,0.7183
0.1641,0.2272,0.6895
0.1797,0.2255,0.657
0.18,0.2179,0.6907
0.1937,0.2194,0.6512
0.1946,0.2141,0.6711
0.2196,0.2156,0.6139
0.22,0.2049,0.6511
0.2228,0.2062,0.6409
0.223,0.2025,0.6533
0.2259,0.2007,0.6538
0.2478,0.2036,0.6048
0.248,0.1936,0.6348
0.2492,0.1941,0.6313
0.2634,0.1923,0.6127
0.27,0.1874,0.6157
0.2786,0.1868,0.6039
0.28,0.1814,0.6158
0.2871,0.1812,0.6057
0.29,0.1761,0.6138
0.2991,0.1751,0.6029
0.3025,0.1727,0.6037
0.3161,0.1739,0.5824
0.32,0.1693,0.5873
0.3318,0.1697,0.5715
0.34,0.1702,0.5609
0.3468,0.1676,0.5582
0.35,0.1597,0.5693
0.3547,0.1636,0.5567
0.3733,0.1628,0.5384
0.374,0.1522,0.5556
0.374,0.1506,0.5581
