x_VBf0.5_1,f_VBf0.5_1,F_VBf0.5_1
0,0.4935,0.4935
0.0016,0.4806,8.7295
0.0183,0.4725,1.616
0.02,0.4545,2.4029
0.0253,0.4596,1.7977
0.0253,0.4432,2.4334
0.0372,0.4411,1.8493
0.0372,0.4274,2.2016
0.0869,0.4433,1.0201
0.1012,0.4411,0.9588
0.1164,0.4364,0.9267
0.1164,0.4257,1.0079
0.1265,0.4144,1.0391
0.1432,0.4103,0.9914
0.1468,0.4013,1.0291
0.1538,0.3974,1.0223
0.181,0.4005,0.9141
0.1852,0.3921,0.9395
0.1928,0.3911,0.9221
0.1993,0.3838,0.9339
0.2203,0.3832,0.8838
0.2269,0.3819,0.8735
0.2269,0.3753,0.896
0.2464,0.3808,0.838
0.2549,0.3764,0.8355
0.2549,0.3641,0.8716
0.2737,0.3659,0.8319
0.2803,0.3614,0.8326
0.2827,0.3558,0.8426
0.2908,0.3488,0.8464
0.3072,0.3465,0.825
0.3192,0.3498,0.7999
0.3232,0.3421,0.8105
0.3232,0.329,0.8379
0.3269,0.332,0.8258
0.3385,0.3302,0.8125
0.3385,0.325,0.8226
0.3579,0.3327,0.7818
0.3579,0.325,0.7955
0.3639,0.326,0.7861
0.3723,0.3177,0.7898
0.3847,0.3152,0.7787
0.3915,0.3162,0.769
0.3999,0.3095,0.7696
0.402,0.3045,0.7746
0.4071,0.3065,0.7657
0.4076,0.3003,0.7743
0.4095,0.2952,0.7794
0.423,0.2979,0.7601
0.431,0.2982,0.7513
0.4351,0.2939,0.7525
0.4351,0.2868,0.7618
0.4388,0.285,0.7601
0.4421,0.2835,0.7584
